"","GO.IDs","term","ontology","over_represented_pvalue","GO.Term","GO.Slim.Term","Cat","Species","Site"
"114758","GO:0045618","positive regulation of keratinocyte differentiation","BP",0.041588768,"positive regulation of keratinocyte differentiation","other biological processes","P","P.lobata","Hawaii"
"114933","GO:0045792","negative regulation of cell size","BP",0.046516114,"negative regulation of cell size","other biological processes","P","P.lobata","Hawaii"
"115103","GO:0045944","positive regulation of transcription by RNA polymerase II","BP",0.044572701,"positive regulation of transcription from RNA polymerase II promoter","RNA metabolism","P","P.lobata","Hawaii"
"115109","GO:0045951","positive regulation of mitotic recombination","BP",0.022495091,"positive regulation of mitotic recombination","DNA metabolism","P","P.lobata","Hawaii"
"115325","GO:0046130","purine ribonucleoside catabolic process","BP",0.015094826,"purine ribonucleoside catabolic process","other metabolic processes","P","P.lobata","Hawaii"
"115576","GO:0046415","urate metabolic process","BP",0.044489809,"urate metabolic process","other metabolic processes","P","P.lobata","Hawaii"
"115577","GO:0046416","D-amino acid metabolic process","BP",0.0182556,"D-amino acid metabolic process","other metabolic processes","P","P.lobata","Hawaii"
"115708","GO:0046552","photoreceptor cell fate commitment","BP",0.00858916,"photoreceptor cell fate commitment","developmental processes","P","P.lobata","Hawaii"
"115814","GO:0046651","lymphocyte proliferation","BP",0.049264267,"lymphocyte proliferation","cell cycle and proliferation","P","P.lobata","Hawaii"
"115886","GO:0046713","borate transport","BP",0.007286888,"boron transport","transport","P","P.lobata","Hawaii"
"116086","GO:0046902","regulation of mitochondrial membrane permeability","BP",0.024167594,"regulation of mitochondrial membrane permeability","cell organization and biogenesis","P","P.lobata","Hawaii"
"116087","GO:0046902","regulation of mitochondrial membrane permeability","BP",0.024167594,"regulation of mitochondrial membrane permeability","transport","P","P.lobata","Hawaii"
"117692","GO:0048561","establishment of animal organ orientation","BP",0.014964977,"establishment of organ orientation","developmental processes","P","P.lobata","Hawaii"
"117700","GO:0048568","embryonic organ development","BP",0.020394238,"embryonic organ development","developmental processes","P","P.lobata","Hawaii"
"117755","GO:0048626","myoblast fate specification","BP",0.007992687,"myoblast cell fate specification","developmental processes","P","P.lobata","Hawaii"
"119226","GO:0051089","constitutive protein ectodomain proteolysis","BP",0.029110426,"constitutive protein ectodomain proteolysis","protein metabolism","P","P.lobata","Hawaii"
"119367","GO:0051225","spindle assembly","BP",0.01120444,"spindle assembly","cell cycle and proliferation","P","P.lobata","Hawaii"
"119368","GO:0051225","spindle assembly","BP",0.01120444,"spindle assembly","cell organization and biogenesis","P","P.lobata","Hawaii"
"119851","GO:0051638","barbed-end actin filament uncapping","BP",0.026548309,"barbed-end actin filament uncapping","cell organization and biogenesis","P","P.lobata","Hawaii"
"119852","GO:0051638","barbed-end actin filament uncapping","BP",0.026548309,"barbed-end actin filament uncapping","protein metabolism","P","P.lobata","Hawaii"
"119853","GO:0051639","actin filament network formation","BP",0.049385607,"actin filament network formation","cell organization and biogenesis","P","P.lobata","Hawaii"
"119924","GO:0051707","response to other organism","BP",0.049013967,"response to other organism","other biological processes","P","P.lobata","Hawaii"
"120094","GO:0051881","regulation of mitochondrial membrane potential","BP",0.00586522,"regulation of mitochondrial membrane potential","other biological processes","P","P.lobata","Hawaii"
"120821","GO:0055067","monovalent inorganic cation homeostasis","BP",0.038600592,"monovalent inorganic cation homeostasis","other biological processes","P","P.lobata","Hawaii"
"120949","GO:0060061","Spemann organizer formation","BP",0.03872187,"Spemann organizer formation","cell-cell signaling","P","P.lobata","Hawaii"
"121131","GO:0060218","hematopoietic stem cell differentiation","BP",0.008446077,"hemopoietic stem cell differentiation","developmental processes","P","P.lobata","Hawaii"
"121422","GO:0060480","lung goblet cell differentiation","BP",0.015449775,"lung goblet cell differentiation","developmental processes","P","P.lobata","Hawaii"
"121549","GO:0060576","intestinal epithelial cell development","BP",0.032689766,"intestinal epithelial cell development","developmental processes","P","P.lobata","Hawaii"
"121805","GO:0060788","ectodermal placode formation","BP",0.038352051,NA,NA,NA,"P.lobata","Hawaii"
"121806","GO:0060996","dendritic spine development","BP",0.003081911,NA,NA,NA,"P.lobata","Hawaii"
"121807","GO:0061317","canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment","BP",0.014964977,NA,NA,NA,"P.lobata","Hawaii"
"121808","GO:0061320","pericardial nephrocyte differentiation","BP",0.007992687,NA,NA,NA,"P.lobata","Hawaii"
"121809","GO:0062009","secondary palate development","BP",0.029755393,NA,NA,NA,"P.lobata","Hawaii"
"122439","GO:0070487","monocyte aggregation","BP",0.035266334,"monocyte aggregation","cell adhesion","P","P.lobata","Hawaii"
"122846","GO:0070901","mitochondrial tRNA methylation","BP",0.026643561,NA,NA,NA,"P.lobata","Hawaii"
"122871","GO:0071312","cellular response to alkaloid","BP",0.016381358,NA,NA,NA,"P.lobata","Hawaii"
"122872","GO:0071476","cellular hypotonic response","BP",0.035760072,NA,NA,NA,"P.lobata","Hawaii"
"122873","GO:0071630","nuclear protein quality control by the ubiquitin-proteasome system","BP",0.035161542,NA,NA,NA,"P.lobata","Hawaii"
"122874","GO:0071716","leukotriene transport","BP",0.018371988,NA,NA,NA,"P.lobata","Hawaii"
"122876","GO:0071900","regulation of protein serine/threonine kinase activity","BP",0.049532279,NA,NA,NA,"P.lobata","Hawaii"
"122878","GO:0072234","metanephric nephron tubule development","BP",0.038600592,NA,NA,NA,"P.lobata","Hawaii"
"122879","GO:0072673","lamellipodium morphogenesis","BP",0.013296085,NA,NA,NA,"P.lobata","Hawaii"
"123230","GO:0075713","establishment of integrated proviral latency","BP",0.026948575,NA,NA,NA,"P.lobata","Hawaii"
"123407","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","BP",0.030657231,NA,NA,NA,"P.lobata","Hawaii"
"123408","GO:0090166","Golgi disassembly","BP",0.042042746,NA,NA,NA,"P.lobata","Hawaii"
"123411","GO:0097155","fasciculation of sensory neuron axon","BP",0.016548984,NA,NA,NA,"P.lobata","Hawaii"
"123414","GO:0098885","modification of postsynaptic actin cytoskeleton","BP",0.037075838,NA,NA,NA,"P.lobata","Hawaii"
"123416","GO:0110122","myotube cell migration","BP",0.007992687,NA,NA,NA,"P.lobata","Hawaii"
"123417","GO:0140115","export across plasma membrane","BP",0.019975787,NA,NA,NA,"P.lobata","Hawaii"
"123418","GO:0150013","negative regulation of neuron projection arborization","BP",0.014460734,NA,NA,NA,"P.lobata","Hawaii"
"123419","GO:0198738","cell-cell signaling by wnt","BP",0.035091823,NA,NA,NA,"P.lobata","Hawaii"
"123420","GO:1900118","negative regulation of execution phase of apoptosis","BP",0.007990254,NA,NA,NA,"P.lobata","Hawaii"
"123421","GO:1900452","regulation of long-term synaptic depression","BP",0.015973913,NA,NA,NA,"P.lobata","Hawaii"
"123422","GO:1901564","organonitrogen compound metabolic process","BP",0.02682594,NA,NA,NA,"P.lobata","Hawaii"
"123423","GO:1901888","regulation of cell junction assembly","BP",0.040831056,NA,NA,NA,"P.lobata","Hawaii"
"123424","GO:1902230","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage","BP",0.02042233,NA,NA,NA,"P.lobata","Hawaii"
"123425","GO:1902603","carnitine transmembrane transport","BP",0.0297436,NA,NA,NA,"P.lobata","Hawaii"
"123426","GO:1902723","negative regulation of skeletal muscle satellite cell proliferation","BP",0.007039714,NA,NA,NA,"P.lobata","Hawaii"
"123427","GO:1902725","negative regulation of satellite cell differentiation","BP",0.007039714,NA,NA,NA,"P.lobata","Hawaii"
"123428","GO:1902745","positive regulation of lamellipodium organization","BP",0.026548309,NA,NA,NA,"P.lobata","Hawaii"
"123430","GO:1902990","mitotic telomere maintenance via semi-conservative replication","BP",0.026771311,NA,NA,NA,"P.lobata","Hawaii"
"123431","GO:1903077","negative regulation of protein localization to plasma membrane","BP",0.048940543,NA,NA,NA,"P.lobata","Hawaii"
"123432","GO:1903748","negative regulation of establishment of protein localization to mitochondrion","BP",0.014658604,NA,NA,NA,"P.lobata","Hawaii"
"123433","GO:1903977","positive regulation of glial cell migration","BP",0.007992687,NA,NA,NA,"P.lobata","Hawaii"
"123434","GO:1904382","mannose trimming involved in glycoprotein ERAD pathway","BP",0.017888094,NA,NA,NA,"P.lobata","Hawaii"
"123435","GO:1904579","cellular response to thapsigargin","BP",0.01751754,NA,NA,NA,"P.lobata","Hawaii"
"123436","GO:1904743","negative regulation of telomeric DNA binding","BP",0.039470849,NA,NA,NA,"P.lobata","Hawaii"
"123437","GO:1905218","cellular response to astaxanthin","BP",0.007990254,NA,NA,NA,"P.lobata","Hawaii"
"123438","GO:1905259","negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway","BP",0.014658604,NA,NA,NA,"P.lobata","Hawaii"
"123439","GO:1905448","positive regulation of mitochondrial ATP synthesis coupled electron transport","BP",0.017024887,NA,NA,NA,"P.lobata","Hawaii"
"123440","GO:1905709","negative regulation of membrane permeability","BP",0.03808967,NA,NA,NA,"P.lobata","Hawaii"
"123441","GO:1990549","mitochondrial NAD transmembrane transport","BP",0.011807868,NA,NA,NA,"P.lobata","Hawaii"
"123442","GO:1990646","cellular response to prolactin","BP",0.015964799,NA,NA,NA,"P.lobata","Hawaii"
"123445","GO:2000044","negative regulation of cardiac cell fate specification","BP",0.014964977,NA,NA,NA,"P.lobata","Hawaii"
"123446","GO:2000047","regulation of cell-cell adhesion mediated by cadherin","BP",0.008068669,NA,NA,NA,"P.lobata","Hawaii"
"123447","GO:2000146","negative regulation of cell motility","BP",0.029620326,NA,NA,NA,"P.lobata","Hawaii"
"123448","GO:2000299","negative regulation of Rho-dependent protein serine/threonine kinase activity","BP",0.03808967,NA,NA,NA,"P.lobata","Hawaii"
"123449","GO:2000302","positive regulation of synaptic vesicle exocytosis","BP",0.007990254,NA,NA,NA,"P.lobata","Hawaii"
"123450","GO:2000601","positive regulation of Arp2/3 complex-mediated actin nucleation","BP",0.025714804,NA,NA,NA,"P.lobata","Hawaii"
"123451","GO:2000739","regulation of mesenchymal stem cell differentiation","BP",0.014621855,NA,NA,NA,"P.lobata","Hawaii"
"123452","GO:2000809","positive regulation of synaptic vesicle clustering","BP",0.007990254,NA,NA,NA,"P.lobata","Hawaii"
"123453","GO:2000811","negative regulation of anoikis","BP",0.04618892,NA,NA,NA,"P.lobata","Hawaii"
"123454","GO:2000813","negative regulation of barbed-end actin filament capping","BP",0.031983971,NA,NA,NA,"P.lobata","Hawaii"
"123455","GO:2001107","negative regulation of Rho guanyl-nucleotide exchange factor activity","BP",0.017354604,NA,NA,NA,"P.lobata","Hawaii"
"123456","GO:2001108","positive regulation of Rho guanyl-nucleotide exchange factor activity","BP",0.007039714,NA,NA,NA,"P.lobata","Hawaii"
"123457","GO:2001171","positive regulation of ATP biosynthetic process","BP",0.035017046,NA,NA,NA,"P.lobata","Hawaii"
