"","GO.IDs","term","ontology","over_represented_pvalue","Species","Site"
"362","GO:0036509","trimming of terminal mannose on B branch","BP",0.008984143,"P.lobata","Hawaii"
"383","GO:1904382","mannose trimming involved in glycoprotein ERAD pathway","BP",0.017888094,"P.lobata","Hawaii"
"401","GO:2000299","negative regulation of Rho-dependent protein serine/threonine kinase activity","BP",0.03808967,"P.lobata","Hawaii"
"426","GO:1905709","negative regulation of membrane permeability","BP",0.03808967,"P.lobata","Hawaii"
"442","GO:0030324","lung development","BP",0.01541899,"P.lobata","Hawaii"
"461","GO:0035024","negative regulation of Rho protein signal transduction","BP",0.019136123,"P.lobata","Hawaii"
"516","GO:0007059","chromosome segregation","BP",0.020076301,"P.lobata","Hawaii"
"571","GO:0051638","barbed-end actin filament uncapping","BP",0.026548309,"P.lobata","Hawaii"
"581","GO:0030032","lamellipodium assembly","BP",0.008254256,"P.lobata","Hawaii"
"601","GO:1902745","positive regulation of lamellipodium organization","BP",0.026548309,"P.lobata","Hawaii"
"6111","GO:0051639","actin filament network formation","BP",0.049385607,"P.lobata","Hawaii"
"627","GO:0046415","urate metabolic process","BP",0.044489809,"P.lobata","Hawaii"
"633","GO:2000813","negative regulation of barbed-end actin filament capping","BP",0.031983971,"P.lobata","Hawaii"
"641","GO:0055067","monovalent inorganic cation homeostasis","BP",0.038600592,"P.lobata","Hawaii"
"653","GO:0072234","metanephric nephron tubule development","BP",0.038600592,"P.lobata","Hawaii"
"672","GO:0033683","nucleotide-excision repair, DNA incision","BP",0.022501559,"P.lobata","Hawaii"
"692","GO:0040016","embryonic cleavage","BP",0.002484953,"P.lobata","Hawaii"
"71","GO:0060218","hematopoietic stem cell differentiation","BP",0.008446077,"P.lobata","Hawaii"
"732","GO:0000717","nucleotide-excision repair, DNA duplex unwinding","BP",0.015494047,"P.lobata","Hawaii"
"7510","GO:0006362","transcription elongation from RNA polymerase I promoter","BP",0.015494047,"P.lobata","Hawaii"
"775","GO:0043249","erythrocyte maturation","BP",0.0352962,"P.lobata","Hawaii"
"791","GO:0048568","embryonic organ development","BP",0.020394238,"P.lobata","Hawaii"
"811","GO:0032289","central nervous system myelin formation","BP",0.037059212,"P.lobata","Hawaii"
"852","GO:0006283","transcription-coupled nucleotide-excision repair","BP",0.046646858,"P.lobata","Hawaii"
"895","GO:0043388","positive regulation of DNA binding","BP",0.002776444,"P.lobata","Hawaii"
"973","GO:0045951","positive regulation of mitotic recombination","BP",0.022495091,"P.lobata","Hawaii"
"1013","GO:0038061","NIK/NF-kappaB signaling","BP",0.037878252,"P.lobata","Hawaii"
"1033","GO:0051707","response to other organism","BP",0.049013967,"P.lobata","Hawaii"
"1052","GO:0071630","nuclear protein quality control by the ubiquitin-proteasome system","BP",0.035161542,"P.lobata","Hawaii"
"1061","GO:0017145","stem cell division","BP",0.034965361,"P.lobata","Hawaii"
"1072","GO:0044346","fibroblast apoptotic process","BP",0.025153254,"P.lobata","Hawaii"
"108","GO:0001831","trophectodermal cellular morphogenesis","BP",0.034066289,"P.lobata","Hawaii"
"1091","GO:0007229","integrin-mediated signaling pathway","BP",0.015215116,"P.lobata","Hawaii"
"1102","GO:0043149","stress fiber assembly","BP",0.03934984,"P.lobata","Hawaii"
"1143","GO:0016477","cell migration","BP",0.002553513,"P.lobata","Hawaii"
"1252","GO:0006264","mitochondrial DNA replication","BP",0.002970756,"P.lobata","Hawaii"
"1262","GO:0043504","mitochondrial DNA repair","BP",0.001977759,"P.lobata","Hawaii"
"1274","GO:0070901","mitochondrial tRNA methylation","BP",0.026643561,"P.lobata","Hawaii"
"1292","GO:0030488","tRNA methylation","BP",0.032457382,"P.lobata","Hawaii"
"1302","GO:0014033","neural crest cell differentiation","BP",0.03792525,"P.lobata","Hawaii"
"1324","GO:0009723","response to ethylene","BP",0.003025668,"P.lobata","Hawaii"
"1362","GO:0006468","protein phosphorylation","BP",0.00984472,"P.lobata","Hawaii"
"1442","GO:0044826","viral genome integration into host DNA","BP",0.018596484,"P.lobata","Hawaii"
"1451","GO:0075713","establishment of integrated proviral latency","BP",0.026948575,"P.lobata","Hawaii"
"1471","GO:0010801","negative regulation of peptidyl-threonine phosphorylation","BP",0.049250497,"P.lobata","Hawaii"
"1491","GO:0071900","regulation of protein serine/threonine kinase activity","BP",0.049532279,"P.lobata","Hawaii"
"157","GO:0150013","negative regulation of neuron projection arborization","BP",0.014460734,"P.lobata","Hawaii"
"159","GO:0035063","nuclear speck organization","BP",0.014224335,"P.lobata","Hawaii"
"163","GO:0035092","sperm chromatin condensation","BP",0.014224335,"P.lobata","Hawaii"
"1691","GO:0042752","regulation of circadian rhythm","BP",0.031423157,"P.lobata","Hawaii"
"1715","GO:0035041","sperm chromatin decondensation","BP",0.014224335,"P.lobata","Hawaii"
"1772","GO:0035076","ecdysone receptor-mediated signaling pathway","BP",0.014224335,"P.lobata","Hawaii"
"1813","GO:0046651","lymphocyte proliferation","BP",0.049264267,"P.lobata","Hawaii"
"1831","GO:0006312","mitotic recombination","BP",0.031820576,"P.lobata","Hawaii"
"1852","GO:0006346","DNA methylation-dependent heterochromatin assembly","BP",0.038672019,"P.lobata","Hawaii"
"187","GO:0031056","regulation of histone modification","BP",0.038721005,"P.lobata","Hawaii"
"1931","GO:0019646","aerobic electron transport chain","BP",0.011807868,"P.lobata","Hawaii"
"195","GO:1990549","mitochondrial NAD transmembrane transport","BP",0.011807868,"P.lobata","Hawaii"
"197","GO:0071476","cellular hypotonic response","BP",0.035760072,"P.lobata","Hawaii"
"198","GO:0046713","borate transport","BP",0.007286888,"P.lobata","Hawaii"
"2001","GO:2000739","regulation of mesenchymal stem cell differentiation","BP",0.014621855,"P.lobata","Hawaii"
"2031","GO:0015701","bicarbonate transport","BP",0.015405533,"P.lobata","Hawaii"
"2041","GO:0042044","fluid transport","BP",0.007286888,"P.lobata","Hawaii"
"2051","GO:0051881","regulation of mitochondrial membrane potential","BP",0.00586522,"P.lobata","Hawaii"
"2061","GO:0030003","cellular cation homeostasis","BP",0.015492494,"P.lobata","Hawaii"
"2091","GO:0048626","myoblast fate specification","BP",0.007992687,"P.lobata","Hawaii"
"2111","GO:0035169","lymph gland plasmatocyte differentiation","BP",0.007992687,"P.lobata","Hawaii"
"2132","GO:0035170","lymph gland crystal cell differentiation","BP",0.007992687,"P.lobata","Hawaii"
"2171","GO:2001107","negative regulation of Rho guanyl-nucleotide exchange factor activity","BP",0.017354604,"P.lobata","Hawaii"
"2191","GO:0007500","mesodermal cell fate determination","BP",0.015291358,"P.lobata","Hawaii"
"2212","GO:1903977","positive regulation of glial cell migration","BP",0.007992687,"P.lobata","Hawaii"
"2231","GO:0010002","cardioblast differentiation","BP",0.04795123,"P.lobata","Hawaii"
"225","GO:0007506","gonadal mesoderm development","BP",0.007992687,"P.lobata","Hawaii"
"2331","GO:0007523","larval visceral muscle development","BP",0.007992687,"P.lobata","Hawaii"
"235","GO:0007525","somatic muscle development","BP",0.039752237,"P.lobata","Hawaii"
"239","GO:0008360","regulation of cell shape","BP",0.023132412,"P.lobata","Hawaii"
"241","GO:0110122","myotube cell migration","BP",0.007992687,"P.lobata","Hawaii"
"2432","GO:0042065","glial cell growth","BP",0.007992687,"P.lobata","Hawaii"
"2451","GO:0007509","mesoderm migration involved in gastrulation","BP",0.016047825,"P.lobata","Hawaii"
"247","GO:0045792","negative regulation of cell size","BP",0.046516114,"P.lobata","Hawaii"
"2491","GO:0061320","pericardial nephrocyte differentiation","BP",0.007992687,"P.lobata","Hawaii"
"251","GO:0007493","endodermal cell fate determination","BP",0.015483379,"P.lobata","Hawaii"
"2551","GO:0018106","peptidyl-histidine phosphorylation","BP",0.011997458,"P.lobata","Hawaii"
"256","GO:0045618","positive regulation of keratinocyte differentiation","BP",0.041588768,"P.lobata","Hawaii"
"2581","GO:0006241","CTP biosynthetic process","BP",0.037046843,"P.lobata","Hawaii"
"2601","GO:0006228","UTP biosynthetic process","BP",0.01978946,"P.lobata","Hawaii"
"2641","GO:0006183","GTP biosynthetic process","BP",0.03563585,"P.lobata","Hawaii"
"2651","GO:0002762","negative regulation of myeloid leukocyte differentiation","BP",0.020001549,"P.lobata","Hawaii"
"266","GO:0007596","blood coagulation","BP",0.019408847,"P.lobata","Hawaii"
"2672","GO:0007599","hemostasis","BP",0.028161525,"P.lobata","Hawaii"
"2691","GO:1901564","organonitrogen compound metabolic process","BP",0.02682594,"P.lobata","Hawaii"
"2731","GO:0006646","phosphatidylethanolamine biosynthetic process","BP",0.000504796,"P.lobata","Hawaii"
"2741","GO:2000146","negative regulation of cell motility","BP",0.029620326,"P.lobata","Hawaii"
"2762","GO:2000809","positive regulation of synaptic vesicle clustering","BP",0.007990254,"P.lobata","Hawaii"
"2783","GO:1990646","cellular response to prolactin","BP",0.015964799,"P.lobata","Hawaii"
"2802","GO:1900452","regulation of long-term synaptic depression","BP",0.015973913,"P.lobata","Hawaii"
"282","GO:1900118","negative regulation of execution phase of apoptosis","BP",0.007990254,"P.lobata","Hawaii"
"284","GO:0046902","regulation of mitochondrial membrane permeability","BP",0.024167594,"P.lobata","Hawaii"
"286","GO:1904579","cellular response to thapsigargin","BP",0.01751754,"P.lobata","Hawaii"
"288","GO:2001171","positive regulation of ATP biosynthetic process","BP",0.035017046,"P.lobata","Hawaii"
"290","GO:2000302","positive regulation of synaptic vesicle exocytosis","BP",0.007990254,"P.lobata","Hawaii"
"2921","GO:1902230","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage","BP",0.02042233,"P.lobata","Hawaii"
"296","GO:0042542","response to hydrogen peroxide","BP",0.024208775,"P.lobata","Hawaii"
"2981","GO:0071312","cellular response to alkaloid","BP",0.016381358,"P.lobata","Hawaii"
"3002","GO:0019050","suppression by virus of host apoptotic process","BP",0.007990254,"P.lobata","Hawaii"
"3021","GO:2000811","negative regulation of anoikis","BP",0.04618892,"P.lobata","Hawaii"
"3061","GO:1905218","cellular response to astaxanthin","BP",0.007990254,"P.lobata","Hawaii"
"3082","GO:1903077","negative regulation of protein localization to plasma membrane","BP",0.048940543,"P.lobata","Hawaii"
"3101","GO:0036018","cellular response to erythropoietin","BP",0.016046901,"P.lobata","Hawaii"
"3121","GO:0036466","synaptic vesicle recycling via endosome","BP",0.007990254,"P.lobata","Hawaii"
"3201","GO:0046130","purine ribonucleoside catabolic process","BP",0.015094826,"P.lobata","Hawaii"
"3252","GO:0140115","export across plasma membrane","BP",0.019975787,"P.lobata","Hawaii"
"3281","GO:0071716","leukotriene transport","BP",0.018371988,"P.lobata","Hawaii"
"3291","GO:0042908","xenobiotic transport","BP",0.016151185,"P.lobata","Hawaii"
"3371","GO:0045002","double-strand break repair via single-strand annealing","BP",0.026771311,"P.lobata","Hawaii"
"341","GO:0043137","DNA replication, removal of RNA primer","BP",0.033721631,"P.lobata","Hawaii"
"3491","GO:1902990","mitotic telomere maintenance via semi-conservative replication","BP",0.026771311,"P.lobata","Hawaii"
"3531","GO:0033567","DNA replication, Okazaki fragment processing","BP",0.034008729,"P.lobata","Hawaii"
"365","GO:0000245","spliceosomal complex assembly","BP",0.004146037,"P.lobata","Hawaii"
"3721","GO:0010820","positive regulation of T cell chemotaxis","BP",0.038323937,"P.lobata","Hawaii"
"374","GO:0051089","constitutive protein ectodomain proteolysis","BP",0.029110426,"P.lobata","Hawaii"
"3781","GO:0042117","monocyte activation","BP",0.036994457,"P.lobata","Hawaii"
"3801","GO:0043467","regulation of generation of precursor metabolites and energy","BP",0.039328628,"P.lobata","Hawaii"
"384","GO:1902603","carnitine transmembrane transport","BP",0.0297436,"P.lobata","Hawaii"
"3851","GO:0006477","protein sulfation","BP",0.022136078,"P.lobata","Hawaii"
"391","GO:0031400","negative regulation of protein modification process","BP",0.038378143,"P.lobata","Hawaii"
"392","GO:1905259","negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway","BP",0.014658604,"P.lobata","Hawaii"
"393","GO:1903748","negative regulation of establishment of protein localization to mitochondrion","BP",0.014658604,"P.lobata","Hawaii"
"400","GO:0043408","regulation of MAPK cascade","BP",0.022514127,"P.lobata","Hawaii"
"402","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","BP",0.044255717,"P.lobata","Hawaii"
"4041","GO:0021545","cranial nerve development","BP",0.043940851,"P.lobata","Hawaii"
"406","GO:0060996","dendritic spine development","BP",0.003081911,"P.lobata","Hawaii"
"4141","GO:0008037","cell recognition","BP",0.022047981,"P.lobata","Hawaii"
"4161","GO:1901888","regulation of cell junction assembly","BP",0.040831056,"P.lobata","Hawaii"
"4351","GO:0007010","cytoskeleton organization","BP",0.008079152,"P.lobata","Hawaii"
"437","GO:0045315","positive regulation of compound eye photoreceptor development","BP",0.008068669,"P.lobata","Hawaii"
"4381","GO:2000047","regulation of cell-cell adhesion mediated by cadherin","BP",0.008068669,"P.lobata","Hawaii"
"457","GO:0003197","endocardial cushion development","BP",0.043206828,"P.lobata","Hawaii"
"458","GO:0070487","monocyte aggregation","BP",0.035266334,"P.lobata","Hawaii"
"4601","GO:0019478","D-amino acid catabolic process","BP",0.010441829,"P.lobata","Hawaii"
"462","GO:0046416","D-amino acid metabolic process","BP",0.0182556,"P.lobata","Hawaii"
"4641","GO:0014036","neural crest cell fate specification","BP",0.01839143,"P.lobata","Hawaii"
"465","GO:0021516","dorsal spinal cord development","BP",0.040894098,"P.lobata","Hawaii"
"4661","GO:0007387","anterior compartment pattern formation","BP",0.01839143,"P.lobata","Hawaii"
"468","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle","BP",0.005336525,"P.lobata","Hawaii"
"469","GO:0007388","posterior compartment specification","BP",0.01839143,"P.lobata","Hawaii"
"4711","GO:0001779","natural killer cell differentiation","BP",0.046493989,"P.lobata","Hawaii"
"4722","GO:0030510","regulation of BMP signaling pathway","BP",0.041205806,"P.lobata","Hawaii"
"4731","GO:0046552","photoreceptor cell fate commitment","BP",0.00858916,"P.lobata","Hawaii"
"4751","GO:0042670","retinal cone cell differentiation","BP",0.015788386,"P.lobata","Hawaii"
"4761","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","BP",0.030657231,"P.lobata","Hawaii"
"486","GO:0007017","microtubule-based process","BP",0.037597796,"P.lobata","Hawaii"
"494","GO:0198738","cell-cell signaling by wnt","BP",0.035091823,"P.lobata","Hawaii"
"496","GO:0001879","detection of yeast","BP",0.007138708,"P.lobata","Hawaii"
"514","GO:0001881","receptor recycling","BP",0.045353198,"P.lobata","Hawaii"
"517","GO:0001771","immunological synapse formation","BP",0.033421402,"P.lobata","Hawaii"
"518","GO:0021952","central nervous system projection neuron axonogenesis","BP",0.024737015,"P.lobata","Hawaii"
"519","GO:0014719","skeletal muscle satellite cell activation","BP",0.022253364,"P.lobata","Hawaii"
"521","GO:0021631","optic nerve morphogenesis","BP",0.0151344,"P.lobata","Hawaii"
"5241","GO:2001108","positive regulation of Rho guanyl-nucleotide exchange factor activity","BP",0.007039714,"P.lobata","Hawaii"
"5251","GO:1902723","negative regulation of skeletal muscle satellite cell proliferation","BP",0.007039714,"P.lobata","Hawaii"
"5301","GO:1902725","negative regulation of satellite cell differentiation","BP",0.007039714,"P.lobata","Hawaii"
"5321","GO:0097155","fasciculation of sensory neuron axon","BP",0.016548984,"P.lobata","Hawaii"
"5411","GO:0090166","Golgi disassembly","BP",0.042042746,"P.lobata","Hawaii"
"5451","GO:0014038","regulation of Schwann cell differentiation","BP",0.007511118,"P.lobata","Hawaii"
"553","GO:0007344","pronuclear fusion","BP",0.021874217,"P.lobata","Hawaii"
"5541","GO:1905448","positive regulation of mitochondrial ATP synthesis coupled electron transport","BP",0.017024887,"P.lobata","Hawaii"
"561","GO:0060576","intestinal epithelial cell development","BP",0.032689766,"P.lobata","Hawaii"
"562","GO:0010454","negative regulation of cell fate commitment","BP",0.007493634,"P.lobata","Hawaii"
"5631","GO:0010455","positive regulation of cell fate commitment","BP",0.007493634,"P.lobata","Hawaii"
"5661","GO:0060480","lung goblet cell differentiation","BP",0.015449775,"P.lobata","Hawaii"
"5671","GO:0098885","modification of postsynaptic actin cytoskeleton","BP",0.037075838,"P.lobata","Hawaii"
"5681","GO:0035046","pronuclear migration","BP",0.020334925,"P.lobata","Hawaii"
"573","GO:0016601","Rac protein signal transduction","BP",0.044921995,"P.lobata","Hawaii"
"5741","GO:2000601","positive regulation of Arp2/3 complex-mediated actin nucleation","BP",0.025714804,"P.lobata","Hawaii"
"575","GO:0072673","lamellipodium morphogenesis","BP",0.013296085,"P.lobata","Hawaii"
"5761","GO:0031643","positive regulation of myelination","BP",0.03016937,"P.lobata","Hawaii"
